Entity,Age-standardized suicide rate - Sex: both sexes,Gini coefficient,Continent,Population
Tajikistan,99.4,1.92830067,Asia,1775760399.0
Tanzania,203.2701,1.91146829,Africa,15104055896.0
Thailand,164.7717,10.48548776,Asia,9546328582.0
Togo,352.0029,1.73641524,Africa,1829751807.0
Tokelau,0.0,0.0,Oceania,323174.0
Tonga,99.62,1.12774105,Oceania,20522560.0
Transnistria,0.0,0.0,,0.0
Trinidad and Tobago,222.15359999999998,0.8287428,North America,222451273.0
Tunisia,68.57,2.72493182,Africa,1922630476.0
Turkey,54.19,8.1868012,Asia,12974270193.0
Turkmenistan,210.369,0.40806928,Asia,1009247834.0
Turks and Caicos Islands,0.0,0.0,North America,5262806.0
Tuscany,0.0,0.0,,0.0
Tuvalu,0.0,0.39139032,Oceania,2148847.0
Two Sicilies,0.0,0.0,,0.0
USSR,0.0,0.0,,25476435261.0
Uganda,313.5725,4.26621289,Africa,9610727466.0
Ukraine,465.8102,6.6398708200000005,Europe,8821691695.0
United Arab Emirates,126.21,0.3251042,Asia,1149654008.0
United Kingdom,145.64000000000001,10.03873424,Europe,14849318455.0
United States,237.7433,12.81832505,North America,55690634713.0
United States Minor Outlying Islands,0.0,0.0,,0.0
United States Virgin Islands,0.0,0.0,North America,11687148.0
Upper-middle-income,204.9154,0.0,,0.0
Upper-middle-income countries,0.0,0.0,,406602935359.0
Uruguay,310.2616,6.28887811,South America,563029409.0
Uruguay - urban,0.0,5.62200631,,0.0
Uzbekistan,189.5997,1.4908846599999999,Asia,5551772293.0
Vanuatu,437.0491,0.6966887399999999,Oceania,71646076.0
Vatican,0.0,0.0,,176166.0
Venezuela,76.85,6.24118941,South America,4434031385.0
Vietnam,145.71,3.96907426,Asia,14171756251.0
Wallis and Futuna,0.0,0.0,Oceania,1710005.0
West Germany,0.0,0.0,,307820000.0
Western Pacific,203.78719999999998,0.0,,0.0
Western Sahara,0.0,0.0,,85481715.0
World,223.3385,0.0,,1371753557469.0
Wuerttemburg,0.0,0.0,,0.0
Yemen,150.99,1.06437215,Asia,6209766875.0
Yemen Arab Republic,0.0,0.0,,145519000.0
Yemen People's Republic,0.0,0.0,,42444800.0
Yugoslavia,0.0,0.0,,1285494000.0
Zambia,389.5161,4.74314023,Africa,4242263084.0
Zanzibar,0.0,0.0,,0.0
Zimbabwe,537.0448,1.37747107,Africa,3053509349.0
