Entity,Code,Year,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:15-24 years of age,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:25-34 years of age,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:35-44 years of age,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:55-64 years,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:75-84 years,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:65-74 years,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:45-54 years,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:85+ years of age,,,,,,,,total rate
Nicaragua,NIC,2019,6.99,4.65,4.39,8.08,8.67,9.08,5.09,9.79,,,,,,,,56.74
Niger,NER,2019,3.24,4.5,6.75,23.78,51.89,39.88,14.27,170.41,,,,,,,,314.72
Nigeria,NGA,2019,1.83,3.16,4.33,14.65,49.62,29.62,6.84,201.08,,,,,,,,311.13
North Korea,PRK,2019,6.03,7.4,8.1,18.95,26.97,22.64,11.13,64.94,,,,,,,,166.16
North Macedonia,MKD,2019,2.96,7.03,6.76,14.45,25.43,20.17,12.38,58.64,,,,,,,,147.82
Norway,NOR,2019,7.74,13.2,13.41,18.14,13.92,13.69,17.03,14.18,,,,,,,,111.31
Oman,OMN,2019,9.77,7.03,4.57,3.3,9.5,5.27,3.25,16.06,,,,,,,,58.75
Pakistan,PAK,2019,13.15,17.07,13.28,9.28,12.58,9.03,10.97,28.89,,,,,,,,114.25
Panama,PAN,2019,3.29,3.35,2.76,5.65,7.16,4.8,3.31,8.83,,,,,,,,39.15
Papua New Guinea,PNG,2019,2.98,4.03,5.95,5.88,6.13,7.05,4.7,13.98,,,,,,,,50.7
Paraguay,PRY,2019,9.26,8.16,6.09,8.79,7.16,9.84,6.7,10.04,,,,,,,,66.04
Peru,PER,2019,3.23,4.1,3.6,3.43,4.64,3.98,3.28,6.27,,,,,,,,32.53
Philippines,PHL,2019,1.98,3.01,2.72,2.84,9.33,4.81,2.63,19.24,,,,,,,,46.56
Poland,POL,2019,8.54,12.05,12.28,17.86,11.71,13.35,15.35,13.48,,,,,,,,104.62
Portugal,PRT,2019,2.93,6.34,8,14.99,26.89,16.79,15.14,31.84,,,,,,,,122.92
Qatar,QAT,2019,6.94,7.33,7.48,3.03,10.27,4.65,5.3,22.26,,,,,,,,67.26
Romania,ROU,2019,4.66,6.3,9.9,15.34,14.91,14.52,14.92,22.02,,,,,,,,102.57
Russia,RUS,2019,17.81,26.86,40.67,28.27,34.08,27.77,34.43,58.6,,,,,,,,268.49
Rwanda,RWA,2019,3.56,5.17,6.68,21.54,51.86,33.23,13.86,82.7,,,,,,,,218.6
Saint Lucia,LCA,2019,4.84,7.76,10.22,11,20.68,13.35,9.69,30.1,,,,,,,,107.64
Saint Vincent and the Grenadines,VCT,2019,1.32,0.91,1.72,0,3.06,0,0,0,,,,,,,,7.01
Samoa,WSM,2019,24.29,23.27,18.9,14.42,19.07,15.7,11.84,40.15,,,,,,,,167.64
Sao Tome and Principe,STP,2019,1.57,2.07,2.37,4.39,6.68,5.83,3.23,14.19,,,,,,,,40.33
Saudi Arabia,SAU,2019,3.88,8.77,10.01,7.2,5.59,5.96,8.56,9.72,,,,,,,,59.69
Senegal,SEN,2019,3.61,5.72,7.12,25.28,67.8,45.19,13.75,205.02,,,,,,,,373.49
Serbia,SRB,2019,2.66,6.43,10.39,15.14,35.61,18.84,13.25,61.37,,,,,,,,163.69
